bin	total_bp	contig_count	max_bitscore	median_bitscore	mean_bitscore	max_coverage	median_coverage	mean_coverage
Binsularis_BLAST_Apicomplexa.tsv	10706	3	684.0	409.0	484.6666666666667	0.2109043421482207	0.19839722763699372	0.19492691674047793
Binsularis_BLAST_Hepatozoon.tsv	15678	4	481.0	481.0	480.0	0.1573589296102385	0.1317292870656651	0.1351269423070736
Binsularis_BLAST_Mitochondrion.tsv	15756	3	12927.0	6890.0	7836.333333333333	0.9998629010145325	0.9953040619863818	0.9750723091040401
Binsularis_BLAST_SexualChromosomes.tsv	18293399	1672	31493.0	1619.0	2588.129186602871	0.9998330039800718	0.20637629627233456	0.26780219177145514
